City, State, Long, Lat, 
    
         130Rye,NY,-73.691925,40.981613
         131Rome,NY,-75.484924,43.227978
         132Rensselaer,NY,-73.747253,42.644516
         133Plattsburgh,NY,-73.471428,44.699764
         134Peekskill,NY,-73.930725,41.292282
         135Oneida,NY,-75.669487,43.095654
         136New Rochelle,NY,-73.791809,40.922794
         137Mount Vernon,NY,-73.836815,40.916695
         138Middletown,NY,-74.429253,41.450123
         139Lockport,NY,-78.710464,43.170048
         140Lackawanna,NY,-78.843399,42.820339
         141Kingston,NY,-74.011108,41.931828
         142Johnstown,NY,-74.383682,43.010265
         143Gloversville,NY,-74.363762,43.052845
         144Glens Falls,NY,-73.655975,43.311825
         145Geneva,NY,-76.99649,42.868473
         146Dunkirk,NY,-79.343887,42.481365
         147Cortland,NY,-76.18737,42.604729
         148Corning,NY,-77.062103,42.148773
         149Cohoes,NY,-73.708412,42.774475
         150South Lake Tahoe,CA,-119.986649,38.936604
         151Binghamton,NY,-75.920647,42.098843
         152Amsterdam,NY,-74.200806,42.940933
         153Mason,OH,-84.32959,39.36834
         154Carpinteria,CA,-119.521042,34.395958
         155Madeira Beach,FL,-82.798462,27.798244
         156Hoboken,NJ,-74.034775,40.745255
         157Port Hueneme,CA,-119.202789,34.155834
         158Auburn,NY,-76.566666,42.933334
         159Jamestown,NY,-79.238609,42.095554
         160Fulton,MO,-91.948059,38.846668
         161Bedford,OH,-81.534447,41.392502
         162Stuart,FL,-80.243057,27.192223
         163San Angelo,TX,-100.450279,31.442778
         164Woodbridge,NJ,-74.290001,40.560001
         165Vista,CA,-117.241112,33.193611
         166South Bend,IN,-86.250275,41.676388
         167Davenport,IA,-90.590836,41.543056
         168Sparks,NV,-119.735558,39.554443
         169Green Bay,WI,-88.015831,44.513332
         170San Mateo,CA,-122.313057,37.554169
         171Tyler,TX,-95.300003,32.349998
         172League City,TX,-95.089722,29.499722
         173Lewisville,TX,-97.006111,33.038334
         174Meridian,ID,-116.398888,43.614166
         175Waterbury,CT,-73.041389,41.55611
         176Jurupa Valley,CA,-117.48333,34
         177West Palm Beach,FL,-80.064163,26.709723
         178Antioch,CA,-121.805832,38.005001
         179High Point,NC,-79.997498,35.970554
         180Miami Gardens,FL,-80.26992,25.942122
         181Murrieta,CA,-117.202499,33.569443
         182Springfield,IL,-89.650002,39.799999
         183El Monte,CA,-118.027496,34.073334
         184West Jordan,UT,-111.976112,40.606388
         185College Station,TX,-96.314445,30.601389
         186Fairfield,CA,-122.054169,38.257778
